symbol,date,open,high,low,close,volume,symbol_encoded,year,month,day
AAL,2014-01-02,-1.0434187994573412,-1.0341928514461205,-1.0418189188035027,25.36,0.29001866429088047,0,2014,1,2
AAPL,2014-01-02,-0.17598398534330847,-0.18451674946100208,-0.17245040288653116,79.0185,4.726011419238087,2,2014,1,2
AAP,2014-01-02,0.31875577625567386,0.3260956642962263,0.3192735344760734,109.74,-0.4633356895177226,1,2014,1,2
ABBV,2014-01-02,-0.6114007167625697,-0.6151683504894668,-0.6142455326729367,51.98,-0.10463357462100867,3,2014,1,2
ABC,2014-01-02,-0.324080742356694,-0.33223592622978737,-0.3240256530468986,69.89,-0.4093764716279113,4,2014,1,2
ABT,2014-01-02,-0.8354751603931664,-0.8353498404301,-0.8327184041954331,38.23,-0.06913967361932857,5,2014,1,2
ACN,2014-01-02,-0.14216998590961646,-0.1474605050233264,-0.13641692239777267,81.13,-0.2973926531545135,6,2014,1,2
ADBE,2014-01-02,-0.5005613269695303,-0.5013631295581991,-0.4943440011125135,59.29,-0.26701466829225096,7,2014,1,2
ADI,2014-01-02,-0.6529255602008841,-0.6559485546565044,-0.6543204381001403,49.28,-0.26231773610762105,8,2014,1,2
ADM,2014-01-02,-0.753543450070646,-0.7580571278809474,-0.7553156634711168,42.99,-0.26635585767229464,9,2014,1,2
ADP,2014-01-02,-0.16341154043767728,-0.17069573763012688,-0.16404921605927197,79.86,-0.3365484543215331,10,2014,1,2
ADSK,2014-01-02,-0.6559600679906071,-0.6561066174633533,-0.6569059158696372,49.25,-0.2900286738394397,12,2014,1,2
ADS,2014-01-02,2.7476396955244664,2.7096827915788886,2.734917732989237,262.34,-0.4628816046320001,11,2014,1,2
AEE,2014-01-02,-0.8680561913986132,-0.871546223198517,-0.8736012714256044,35.53,-0.3874719762174279,13,2014,1,2
AEP,2014-01-02,-0.6934921380213913,-0.6984674496988807,-0.702798146278209,46.13,-0.26651292097492923,14,2014,1,2
AES,2014-01-02,-1.2120735481914182,-1.2121715719580752,-1.2174698147687053,14.27,-0.15646936436657935,15,2014,1,2
AET,2014-01-02,-0.35442582025392383,-0.3580001637461717,-0.355697755723237,67.56,-0.3646275954735383,16,2014,1,2
AFL,2014-01-02,-0.37966014818951493,-0.3881269347315877,-0.383330049384736,65.96,-0.3411108626337987,17,2014,1,2
AGN,2014-01-02,1.2286289803636639,1.2559791569887928,1.2452575498506055,168.05,-0.39865634441899095,18,2014,1,2
AIG,2014-01-02,-0.6323228494180281,-0.6314488195949121,-0.6312127305352608,50.71,0.307760581282589,19,2014,1,2
AAL,2014-01-03,-1.0325584557888587,-1.019493010409165,-1.0345472625767924,26.54,0.720951100692852,0,2014,1,3
AAPL,2014-01-03,-0.18241873896688424,-0.192035797182808,-0.1992084818772192,77.2828,8.246074691610078,2,2014,1,3
AAP,2014-01-03,0.3326506277138791,0.3648210519742271,0.3401189489926428,112.88,-0.4236906134453886,1,2014,1,3
ABBV,2014-01-03,-0.609324474590654,-0.6098732464600259,-0.6070142745363748,52.3,-0.0845414097638413,3,2014,1,3
ABC,2014-01-03,-0.32759438295532056,-0.3325520518434855,-0.3186931051473111,69.94,-0.41357005289939,4,2014,1,3
ABT,2014-01-03,-0.8310032541767326,-0.8293434537698386,-0.8283554104594069,38.64,-0.1284609596083869,5,2014,1,3
ACN,2014-01-03,-0.14680160306235163,-0.14904113309181635,-0.13641692239777267,81.4,-0.3502060127354839,6,2014,1,3
ADBE,2014-01-03,-0.49848508479761466,-0.49891315605203984,-0.4915969309824229,59.16,-0.37012757281412306,7,2014,1,3
ADI,2014-01-03,-0.6569183336084143,-0.6553163034291085,-0.6527045144942046,49.61,-0.3651566930086188,8,2014,1,3
ADM,2014-01-03,-0.7554599813062605,-0.7566345626193065,-0.7538613322257747,43.19,-0.3089621516211301,9,2014,1,3
ADP,2014-01-03,-0.16277269669247257,-0.15615395940002041,-0.15403048970247102,80.73,-0.33813503421751717,10,2014,1,3
ADSK,2014-01-03,-0.6594737085892337,-0.659900124827729,-0.6585218394755729,48.9,-0.3393742574390983,12,2014,1,3
ADS,2014-01-03,2.7581806173203467,2.7518839803794983,2.792767798081733,263.7,-0.46732311963645223,11,2014,1,3
AEE,2014-01-03,-0.8747640507232639,-0.8781848610861743,-0.8777218766207402,35.4,-0.4041965898326278,13,2014,1,3
AEP,2014-01-03,-0.7051510363713795,-0.7086150818985855,-0.7066763629324545,46.11,-0.2961654569016537,14,2014,1,3
AES,2014-01-03,-1.215746899726346,-1.215490890901904,-1.2187625536534537,14.2,-0.1460010017028918,15,2014,1,3
AET,2014-01-03,-0.36289049987788774,-0.36337429917903696,-0.35327387031433344,67.85,-0.4394547622473702,16,2014,1,3
AFL,2014-01-03,-0.3884442496860814,-0.390561101957062,-0.3795326289107873,66.15,-0.3977297332955067,17,2014,1,3
AGN,2014-01-03,1.231663488153387,1.223576281584751,1.241804321104721,168.02,-0.45683961190104155,18,2014,1,3
AIG,2014-01-03,-0.634558802526245,-0.6325552592428549,-0.6289504374869509,50.92,0.13671641749705676,19,2014,1,3
AAL,2014-01-06,-1.0186636043306536,-1.0123801841009608,-1.0169336952720942,27.03,0.4925465813517785,0,2014,1,6
AAPL,2014-01-06,-0.21757750448423258,-0.2076160480539124,-0.21497504850033314,77.7042,8.696442887643004,2,2014,1,6
AAP,2014-01-06,0.3625165728022051,0.3581824140865698,0.35401589200368916,111.8,-0.4199068399970065,1,2014,1,6
ABBV,2014-01-06,-0.6021374824570995,-0.6093200266360544,-0.6383227944013775,50.39,0.5458947401418899,3,2014,1,6
ABC,2014-01-06,-0.3204073908217661,-0.3273359792174689,-0.32612635373461507,69.69,-0.39574572889977616,4,2014,1,6
ABT,2014-01-06,-0.8179069574000335,-0.8149597383465812,-0.8147816521695477,39.15,0.3908496519473622,5,2014,1,6
ACN,2014-01-06,-0.1452044936993394,-0.1540991429109837,-0.1469204258363543,80.54,-0.3056868962280166,6,2014,1,6
ADBE,2014-01-06,-0.5165324205996512,-0.5133759028787218,-0.5093720906477148,58.12,-0.17725392626746556,7,2014,1,6
ADI,2014-01-06,-0.6556406461180047,-0.659900124827729,-0.6525429221336111,49.33,-0.3188057355319098,8,2014,1,6
ADM,2014-01-06,-0.7503492313446218,-0.7534733064823269,-0.7500315932797073,43.28,-0.13904023765028214,9,2014,1,6
ADP,2014-01-06,-0.15638425924042412,-0.16247647167397983,-0.16388762369867832,79.81,-0.3749298968802145,10,2014,1,6
ADSK,2014-01-06,-0.6615499507611494,-0.6632194437715576,-0.6664398651446575,48.55,-0.3462920807589401,12,2014,1,6
ADS,2014-01-06,2.773353156268961,2.7318115845377458,2.723606267747688,258.29,-0.4520935027776401,11,2014,1,6
AEE,2014-01-06,-0.8736460741691554,-0.8761300445971375,-0.8744092332285722,35.76,-0.25889878071045214,13,2014,1,6
AEP,2014-01-06,-0.7069078566706929,-0.7095318461783096,-0.7047372546053317,46.08,-0.3135862983728318,14,2014,1,6
AES,2014-01-06,-1.2147886341085388,-1.2139892942368387,-1.2184393689322666,14.34,-0.06027321410066264,15,2014,1,6
AET,2014-01-06,-0.3547452421265262,-0.36210979672424515,-0.3615150807046052,67.52,-0.32852931702144794,16,2014,1,6
AFL,2014-01-06,-0.3865277184504668,-0.39474976633856007,-0.40740731111317696,64.88,-0.13357687574780447,17,2014,1,6
AGN,2014-01-06,1.263605675413629,1.2679919303093155,1.2519038436418186,167.93,-0.4259702140056919,18,2014,1,6
AIG,2014-01-06,-0.6205042401317387,-0.6270230610031405,-0.6310511381746673,50.52,0.3137704130083002,19,2014,1,6
AAL,2014-01-07,-1.0094003700251835,-1.0092236698481867,-1.0158025487479394,26.905,0.4940167223728088,0,2014,1,7
AAPL,2014-01-07,-0.20190347319563176,-0.20951280173610004,-0.20499025653925682,77.1481,6.5648733764646385,2,2014,1,7
